Model_key,Label,F1,Balanced_accuracy
mlp_weighted,Valence,0.1379,0.5039
mlp_weighted,Arousal,0.0,0.4901
mlp_weighted,Dominance,0.2345,0.5268
mlp_weighted,Liking,0.0741,0.5039
mlp_unweighted,Valence,0.0,0.4868
mlp_unweighted,Arousal,0.0,0.5
mlp_unweighted,Dominance,0.566,0.5316
mlp_unweighted,Liking,0.6748,0.5508
xgb_weighted,Valence,0.2588,0.5257
xgb_weighted,Arousal,0.4091,0.6235
xgb_weighted,Dominance,0.6777,0.5646
xgb_weighted,Liking,0.7194,0.5898
xgb_unweighted,Valence,0.1132,0.5046
xgb_unweighted,Arousal,0.24,0.5632
xgb_unweighted,Dominance,0.7094,0.5352
xgb_unweighted,Liking,0.7655,0.5352
random_forest_weighted,Valence,0.1538,0.5237
random_forest_weighted,Arousal,0.1739,0.5455
random_forest_weighted,Dominance,0.7519,0.5956
random_forest_weighted,Liking,0.7755,0.5391
random_forest_unweighted,Valence,0.2222,0.5487
random_forest_unweighted,Arousal,0.4,0.6242
random_forest_unweighted,Dominance,0.7388,0.57
random_forest_unweighted,Liking,0.7959,0.5742
